Company,Ticker,Fiscal Year End,Year,Total Revenue,Gross Profit,Operating Income,Net Income,R&D Expenses,EPS (Diluted),Total Assets,Current Assets,Total Liabilities,Current Liabilities,Total Equity,Shares Outstanding,Cash Flow from Operations,Stock Price ($),52-Week High ($),52-Week Low ($),Beta,Gross Margin (%),Operating Margin (%),Net Profit Margin (%),ROA (%),ROE (%),Debt-to-Equity,Current Ratio,YoY Revenue Growth (%),YoY Net Income Growth (%),Market Cap ($M),P/E Ratio,Price-to-Sales
ALPHABET INC.,GOOGL,2025-12-31,2025,,,129039.0,132170.0,61087.0,10.81,595281.0,206038.0,180016.0,102745.0,415265.0,12116000000.0,164713.0,312.78,328.38,140.04,1.112,,,,22.2,31.83,0.43,2.01,,32.01,3789642.48,28.93,
ALPHABET INC.,GOOGL,2024-12-31,2024,350018.0,,112390.0,100118.0,49326.0,8.04,450256.0,163711.0,125172.0,89122.0,325084.0,12319000000.0,125299.0,188.43,200.49,129.6,1.112,,32.11,28.6,22.24,30.8,0.39,1.84,13.87,35.67,2321269.17,23.44,6.63
ALPHABET INC.,GOOGL,2023-12-31,2023,307394.0,,84293.0,73795.0,45427.0,5.8,402392.0,171530.0,119013.0,81814.0,283379.0,12630000000.0,101746.0,138.54,141.51,84.16,1.112,,27.42,24.01,18.34,26.04,0.42,2.1,8.68,23.05,1749760.2,23.89,5.69
ALPHABET INC.,GOOGL,2022-12-31,2022,282836.0,,74842.0,59972.0,39500.0,4.56,365264.0,164795.0,109120.0,69300.0,256144.0,13063000000.0,91495.0,87.51,150.3,82.66,1.112,,26.46,21.2,16.42,23.41,0.43,2.38,9.78,-21.12,1143143.13,19.19,4.04
ALPHABET INC.,GOOGL,2021-12-31,2021,257637.0,,78714.0,76033.0,31562.0,5.61,359268.0,188143.0,107633.0,64254.0,251635.0,,91652.0,143.66,149.73,84.11,1.112,,30.55,29.51,21.16,30.22,0.43,2.93,,,,25.61,
AMAZON COM INC,AMZN,2025-12-31,2025,716924.0,,79975.0,77670.0,,7.17,818042.0,229083.0,,218005.0,411065.0,10656000000.0,139514.0,230.82,258.6,161.38,1.42,,11.16,10.83,9.49,18.89,,1.05,12.38,31.09,2459617.92,32.19,3.43
AMAZON COM INC,AMZN,2024-12-31,2024,637959.0,,68593.0,59248.0,,5.53,624894.0,190867.0,,179431.0,285970.0,10473000000.0,115877.0,219.39,233.0,144.05,1.42,,10.75,9.29,9.48,20.72,,1.06,10.99,94.73,2297671.47,39.67,3.6
AMAZON COM INC,AMZN,2023-12-31,2023,574785.0,,36852.0,30425.0,,2.9,527854.0,172351.0,,164917.0,201875.0,10304000000.0,84946.0,151.94,155.63,81.43,1.42,,6.41,5.29,5.76,15.07,,1.05,11.83,-1217.74,1565589.76,52.39,2.72
AMAZON COM INC,AMZN,2022-12-31,2022,513983.0,,12248.0,-2722.0,,-0.27,462675.0,146791.0,,155393.0,146043.0,10189000000.0,46752.0,84.0,171.4,81.69,1.42,,2.38,-0.53,-0.59,-1.86,,0.94,9.4,-108.16,855876.0,,1.67
AMAZON COM INC,AMZN,2021-12-31,2021,469822.0,,24879.0,33364.0,,3.24,420549.0,161580.0,,142266.0,138245.0,10117000000.0,46327.0,166.72,188.65,144.05,1.42,,5.3,7.1,7.93,24.13,,1.14,,,1686706.24,51.46,3.59
Apple Inc.,AAPL,2025-09-27,2025,416161.0,195201.0,133050.0,112010.0,34550.0,7.46,359241.0,147957.0,285508.0,165631.0,73733.0,14948500000.0,111482.0,254.97,258.69,168.48,1.116,46.91,31.97,26.92,31.18,151.91,3.87,0.89,6.43,19.5,3811419.04,34.18,9.16
Apple Inc.,AAPL,2024-09-28,2024,391035.0,180683.0,123216.0,93736.0,31370.0,6.08,364980.0,152987.0,308030.0,176392.0,56950.0,15343783000.0,118254.0,226.3,235.41,162.6,1.116,46.21,31.51,23.97,25.68,164.59,5.41,0.87,2.02,-3.36,3472298.09,37.22,8.88
Apple Inc.,AAPL,2023-09-30,2023,383285.0,169148.0,114301.0,96995.0,29915.0,6.13,352583.0,143566.0,290437.0,145308.0,62146.0,15744231000.0,110543.0,169.23,195.67,122.21,1.116,44.13,29.82,25.31,27.51,156.08,4.67,0.99,-2.8,-2.81,2664396.21,27.61,6.95
Apple Inc.,AAPL,2022-09-24,2022,394328.0,170782.0,119437.0,99803.0,26251.0,6.11,352755.0,135405.0,302083.0,153982.0,50672.0,16215963000.0,122151.0,147.81,179.01,126.62,1.116,43.31,30.29,25.31,28.29,196.96,5.96,0.88,7.79,5.41,2396881.49,24.19,6.08
Apple Inc.,AAPL,2021-09-25,2021,365817.0,152836.0,108949.0,94680.0,21914.0,5.61,351002.0,134836.0,287912.0,125481.0,63090.0,16701272000.0,104038.0,143.56,153.66,104.19,1.116,41.78,29.78,25.88,26.97,150.07,4.56,1.07,,,2397634.61,25.59,6.55
MICROSOFT CORPORATION,MSFT,2025-06-30,2025,281724.0,193893.0,128528.0,101832.0,32488.0,13.64,619003.0,191131.0,275524.0,141218.0,343479.0,7433000000.0,136162.0,494.54,496.42,342.17,1.108,68.82,45.62,36.15,16.45,29.65,0.8,1.35,14.93,15.54,3675915.82,36.26,13.05
